"","curveID","J_ref","J_ref_SE","J_ref_var","E","E_SE","E_var","E_D","E_D_SE","E_D_var","T_opt","T_opt_SE","T_opt_var","Topt_ED_cov","Topt_ED_cor","Amax","AIC","r_sq","breadth_90"
"49",58,15.2809866671176,0.0123630918652359,0.000152846040468262,0.0640639359585059,0.00142190474804092,2.0218131125013e-06,3.3358574683394,0.056348799720366,0.00317518722992592,33.936964612353,0.0626303553670937,0.00392256141340845,0.00325780253267455,0.92311373113476,16.1151801368845,-312.082745822711,0.985894171831207,12.8
"50",59,15.2224037435407,0.0196122140959242,0.000384638941744367,0.0593217623445328,0.00215712620212254,4.65319345188363e-06,3.77174145729753,0.0787428778685349,0.006200440815019,34.9451718362441,0.0767050102914579,0.00588365860381267,0.00520058268870768,0.861027436244873,16.1419701005932,-62.6613799894216,0.98133067780544,12.9
"51",60,13.234754459125,0.0117633878090334,0.000138377292745717,0.0001337824319093,0.00182078911219293,3.31527299108033e-06,3.39856515363155,0.0609484926379962,0.00371471875484388,20.0213162161527,29.3985682309184,864.275814027964,-1.35680964371905,-0.757233419248773,13.2330636325085,-417.728060179168,0.994790205973815,20.2
"52",61,15.0777121144635,0.018196844621184,0.000331125154167512,0.0910043457153648,0.0014674393696598,2.15337830362754e-06,3.38679897532969,0.0775488753656396,0.0060138280704755,31.7765838609659,0.0681979289531297,0.00465095751349613,0.0050959932558467,0.963567524796043,15.8738423766844,-228.339642147839,0.966330677863846,10.2
"53",62,12.0724327375121,0.0439934770811368,0.00193542602568851,0.200765798478554,0.0037646592978966,1.41726596292393e-05,1.76910179877325,0.0584811293012321,0.00342004248434742,33.700727548729,0.067430249656487,0.00454683856873617,0.00321724443119202,0.815856052446546,13.3560435430093,-215.21171510205,0.981982086282479,9.3
"54",63,7.74560318912261,0.00769724587974231,5.92475941332099e-05,0.110042245072097,0.00127284899587104,1.62014456628993e-06,4.74867244524059,0.121548757710695,0.0147741005010132,35.3456045777892,0.063725108857224,0.00406088949886505,0.00747160335172311,0.964612083060412,8.73440116777553,-600.565782961532,0.968251123740059,8.09999999999999
"55",64,147.934225287158,29.3554016829408,861.739607966807,0.957669784565162,0.0851287556338336,0.00724690503576497,0.971899840994545,0.0787496751641142,0.0062015113384535,38.6557583753217,1.88310025892015,3.54606658514515,0.12857378481515,0.867022193177314,11.076391188489,-454.527101049289,0.971069173066301,20.6
"56",65,8.69904163207409,0.0123519568272078,0.000152570837461205,0.126714124495109,0.00191337779879679,3.66101460092845e-06,3.25888858428372,0.0727615501423259,0.00529424317911421,34.3427960257909,0.0769174357974363,0.00591629192965273,0.0053929231859689,0.9636015588191,9.71196502032692,-323.526575485517,0.964116678691637,8.7
"57",66,15.3479035889368,0.0573450782874948,0.00328845800379891,0.125936162723234,0.00351644986628476,1.23654196620941e-05,1.63507528363005,0.0325263732733954,0.00105796495832025,29.166245048635,0.0760888747660487,0.00578951686316345,0.00227706558017155,0.920065477111767,15.1554261145599,-194.17137682014,0.980723727334941,11.8
"58",67,9.75145519970346,0.00812319677624771,6.59863258656412e-05,0.157805851368924,0.00140667918209028,1.97874632132619e-06,3.01744521430922,0.104855392725857,0.0109946533836938,37.2032132998078,0.0383690205468567,0.00147218173772511,0.00285174447360039,0.70882515966189,11.7650801268289,-682.508175114688,0.99388610334494,8.3
